,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
149,Inside Out,(I) (2015),95 min,8.2,94        ,"702,582",$356.46M,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
150,Gangs of Wasseypur,(2012),321 min,8.2,89        ,"95,400",%^%^%^,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
151,Paan Singh Tomar,(2012),135 min,8.2,****,"36,328",$0.04M,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
152,Zindagi Na Milegi Dobara,(2011),155 min,8.2,****,"77,673",$3.11M,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
153,El secreto de sus ojos,(2009),129 min,8.2,80        ,"208,726",$6.39M,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
154,Warrior,(2011),140 min,8.2,71        ,"469,288",$13.66M,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
155,Shutter Island,(2010),138 min,8.2,63        ,"1,286,729",$128.01M,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
156,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),117 min,8.2,72        ,"55,627",$47.70M,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
157,Miracle in Cell No. 7,(2019),132 min,8.2,****,"48,371",%^%^%^,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).
158,The Father,(I) (2020),97 min,8.2,88        ,"146,161",#131,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
159,The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,376,523",$116.90M,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
160,No Country for Old Men,(2007),122 min,8.2,92        ,"958,341",$74.28M,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
161,Babam ve Oglum,(2005),112 min,8.2,****,"86,523",#239,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
162,There Will Be Blood,(2007),158 min,8.2,93        ,"579,984",$40.22M,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
163,Pan's Labyrinth,(2006),118 min,8.2,98        ,"663,452",$37.63M,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
164,V for Vendetta,(2005),132 min,8.2,62        ,"1,111,280",$70.51M,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
165,Batman Begins,(2005),140 min,8.2,70        ,"1,450,660",$206.85M,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
166,Der Untergang,(2004),156 min,8.2,82        ,"353,867",$5.51M,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
167,Hauru no ugoku shiro,(2004),119 min,8.2,80        ,"389,060",$4.71M,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
168,A Beautiful Mind,(2001),135 min,8.2,72        ,"923,357",$170.74M,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
169,Kill Bill: Vol. 1,(2003),111 min,8.2,69        ,"1,101,204",$70.10M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
170,Finding Nemo,(2003),100 min,8.2,90        ,"1,032,561",$380.84M,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
171,The Sixth Sense,(1999),107 min,8.2,64        ,"981,884",$293.51M,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
172,"Lock, Stock and Two Smoking Barrels",(1998),107 min,8.2,66        ,"577,791",$3.90M,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
173,The Truman Show,(1998),103 min,8.2,90        ,"1,060,370",$125.62M,An insurance salesman discovers his whole life is actually a reality TV show.
174,L.A. Confidential,(1997),138 min,8.2,90        ,"578,849",$64.62M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
175,Bacheha-Ye aseman,(1997),89 min,8.2,77        ,"74,586",$0.93M,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
176,Casino,(1995),178 min,8.2,73        ,"514,266",$42.44M,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
177,Jurassic Park,(1993),127 min,8.2,68        ,"976,310",$402.45M,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
178,Unforgiven,(1992),130 min,8.2,85        ,"409,350",$101.16M,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
179,Indiana Jones and the Last Crusade,(1989),127 min,8.2,65        ,"747,718",$197.17M,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
180,Die Hard,(1988),132 min,8.2,72        ,"867,619",$83.01M,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
181,Ran,(1985),162 min,8.2,96        ,"125,042",$4.14M,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
182,The Thing,(1982),109 min,8.2,57        ,"418,274",$13.78M,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
183,Raging Bull,(1980),129 min,8.2,89        ,"351,323",$23.38M,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
184,The Elephant Man,(1980),124 min,8.2,78        ,"239,794",#154,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
185,Taxi Driver,(1976),114 min,8.2,94        ,"817,080",$28.26M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
186,Monty Python and the Holy Grail,(1975),91 min,8.2,91        ,"537,768",$1.23M,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
187,Dersu Uzala,(1975),142 min,8.2,****,"29,451",#246,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.
188,Chinatown,(1974),130 min,8.2,92        ,"324,444",$8.49M,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
189,Z,(1969),127 min,8.2,86        ,"28,809",$0.08M,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
190,Per qualche dollaro in più,(1965),132 min,8.2,74        ,"255,173",$15.00M,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
191,The Great Escape,(1963),172 min,8.2,86        ,"243,497",$12.10M,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
192,Yôjinbô,(1961),110 min,8.2,93        ,"122,524",#145,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
193,Some Like It Hot,(1959),121 min,8.2,98        ,"265,600",$25.00M,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
194,The Bridge on the River Kwai,(1957),161 min,8.2,87        ,"219,766",$44.91M,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
195,Dial M for Murder,(1954),105 min,8.2,75        ,"174,943",$0.01M,A former tennis star arranges the murder of his adulterous wife.
196,Tôkyô monogatari,(1953),136 min,8.2,****,"61,486",#207,"An old couple visit their children and grandchildren in the city, but receive little attention."
197,Le salaire de la peur,(1953),131 min,8.2,85        ,"61,067",#192,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
